"","Category","Age_Category","Gender","Flank_Girth","Heart_Girth","Neck_Girth","Weight","Height","Fore_Feet_Circumference"
"1","African","less than 10 years","male",291.373383882456,239.368824055418,210.703156958334,1775.04089744762,2.46,1.15416552827285
"2","African","less than 10 years","male",269.556549517438,330.538586061448,119.12078979658,1564.18361226097,2.28,1.23393489428627
"3","African","less than 10 years","male",291.234532243107,275.018361024559,199.894869257696,2070.38728462067,2.56,1.31183797506266
"4","African","less than 10 years","male",284.571201482322,252.675457857549,111.422158835921,1716.23206313234,2.33,1.14709420716475
"5","African","less than 10 years","male",183.680978987832,389.419220667332,179.605541087221,2735.65529345069,2.38,1.2671343572172
"6","African","less than 10 years","male",234.521946008317,284.008039534092,157.994720665738,1773.3139035292,2.2,1.12817924781023
"7","African","less than 10 years","male",264.862894266844,262.021540058777,161.253261205275,1650.98945349455,2.68,1.15863674455344
"8","African","less than 10 years","male",226.399216800928,226.401003776118,122.782018373255,2052.65752733685,2.67,1.23138231034638
"9","African","less than 10 years","male",266.130744328257,289.993875799701,191.39544153586,2158.92479789909,2.63,1.18457841046993
"10","African","less than 10 years","male",162.501609872561,331.617667991668,171.604925347492,2075.12435389217,2.12,0.991049719698291
"11","African","less than 10 years","male",229.048389941454,325.764459837228,109.107386227697,2329.70242132433,2.12,1.05615741448281
"12","African","less than 10 years","male",297.277740156278,293.700728472322,206.147566984873,1832.05070341937,2.31,1.09728389247516
"13","African","less than 10 years","male",299.243707198184,332.566682575271,198.360837297514,2628.75701326411,2.15,1.21662249717227
"14","African","less than 10 years","male",298.186627600808,342.520984448493,148.157929943409,2272.9927879991,2.53,1.06114601233121
"15","African","less than 10 years","male",215.695171861444,325.509348046035,133.59002021607,1460.23600127082,2.3,1.05594514636952
"16","African","less than 10 years","male",211.04806145886,263.049601577222,101.326540252194,1851.828017761,2.39,1.06152542518957
"17","African","less than 10 years","male",255.229848157614,216.43969444558,181.265578651801,1570.29437227175,2.67,1.31592738940578
"18","African","less than 10 years","male",286.324516602326,223.036468261853,182.021117920522,1816.08817174565,2.28,1.06908300399498
"19","African","less than 10 years","male",220.792508265004,284.832069976255,239.844347152393,2327.27935123257,2.17,1.0873299513185
"20","African","less than 10 years","male",287.84372684313,253.264016238973,200.203544995748,1915.75256350916,2.38,1.06579023216676
"21","African","less than 10 years","male",162.74873376824,266.006326721981,205.015921138693,2312.31051920913,2.69,1.37181885104582
"22","African","less than 10 years","male",183.306515403092,351.056821830571,142.629790608771,1923.23697973043,2.31,1.30838402435346
"23","African","less than 10 years","male",202.872428542469,236.582111893222,185.454856860451,1972.29565780144,2.37,1.14112606280958
"24","African","less than 10 years","male",199.213559925556,342.584878997877,223.022427188698,2166.56456049532,2.41,1.16226008496495
"25","African","less than 10 years","male",251.301880984101,389.037950104102,119.88316946663,1852.10352509748,2.3,1.03005526432332
"26","African","less than 10 years","male",248.255858465564,388.439057534561,194.208283594344,2565.88621826377,2.22,1.09830026200509
"27","African","less than 10 years","male",286.795477650594,214.0313887503,119.936477218289,1273.26054831501,2.13,1.08730070257478
"28","African","less than 10 years","male",208.714986685663,399.973873607814,196.057929133531,2729.19904119335,2.53,1.25218759953742
"29","African","less than 10 years","male",273.720978247002,204.113575816154,115.892362291925,1579.29175011814,2.36,1.1496782580399
"30","African","less than 10 years","male",179.576889483724,212.097281962633,248.525983828586,1904.11755109672,2.44,1.28269670500903
"31","African","less than 10 years","male",168.471932807006,315.170194162056,170.696139812935,2252.73794969544,2.24,1.18270919568773
"32","African","less than 10 years","male",167.988436867017,369.494075980037,131.572515366133,1480.96862069797,2.5,1.23695532810795
"33","African","less than 10 years","male",278.024002863094,261.581194773316,174.381596315652,2297.32069927268,2.11,1.15288090988737
"34","African","less than 10 years","male",262.605347111821,232.663661427796,114.640386751853,1696.87291379087,2.48,1.25796879292712
"35","African","less than 10 years","male",255.414884747006,323.975956160575,158.244204695802,2350.18201470375,2.42,1.16959136365306
"36","African","less than 10 years","male",281.146050884854,248.598351282999,133.683343068697,2128.27035824303,2.45,1.17736440399245
"37","African","less than 10 years","male",169.856767030433,359.139728685841,225.288651953451,2592.57295709103,2.18,1.0306892311583
"38","African","less than 10 years","male",163.158009771723,225.922796409577,171.751149499323,1654.3079022551,2.54,1.19701400709884
"39","African","less than 10 years","male",213.014416513033,318.30255780369,120.133272220846,1504.60933460854,2.39,1.19252761996265
"40","African","less than 10 years","male",236.504017654806,357.585719460621,121.087795461062,1813.22788028046,2.66,1.37987431367617
"41","African","less than 10 years","male",297.340730612632,372.723450604826,212.251424742863,2983.86468857061,2.53,1.45681181750031
"42","African","less than 10 years","male",298.645224957727,282.536065066233,173.024830571376,2453.2987779472,2.64,1.20193320699654
"43","African","less than 10 years","male",166.871427570004,344.629044597968,119.430483097676,2216.04703988414,2.51,1.22952890837529
"44","African","less than 10 years","male",270.762742578518,391.470719221979,172.455213230569,2043.72943362687,2.43,1.31580872321655
"45","African","less than 10 years","male",253.992082772311,398.950800672174,224.289422365837,2269.0427595051,2.48,1.35626678631312
"46","African","less than 10 years","male",152.473152091261,233.109875814989,188.132333941758,1699.72723324317,2.36,1.21489465027719
"47","African","less than 10 years","male",210.154532070737,384.629188012332,232.751636183821,2715.27676179539,2.42,1.19577720598058
"48","African","less than 10 years","male",262.160187447444,211.781579302624,168.413220462389,1469.1975904163,2.31,1.02644986099147
"49","African","less than 10 years","male",222.661707072984,355.011886497959,143.543307029177,1784.48480006773,2.37,1.03544676577738
"50","African","less than 10 years","male",194.870983727742,204.842929495499,184.090104734059,1990.62824400607,2.47,1.00374601336852
"51","African","less than 10 years","male",256.084133998957,252.142482390627,192.044026253279,2533.36820427794,2.36,1.13655366876586
"52","African","less than 10 years","male",216.567432554439,262.404648587108,226.099243457429,2045.0907681603,2.49,1.27914815310238
"53","African","less than 10 years","male",246.557988342829,204.340388905257,120.161926036235,1713.01054256037,2.22,1.12727849248173
"54","African","less than 10 years","male",228.593431587797,237.067060451955,228.229990927503,1733.44782188069,2.23,1.11551095340294
"55","African","less than 10 years","male",281.300527614076,310.758272465318,240.564140258357,2020.51731629763,2.14,0.893106766113217
"56","African","less than 10 years","male",273.519759031478,385.855069104582,113.674047472887,1996.51509646792,2.49,1.33942844152811
"57","African","less than 10 years","male",295.885629672557,315.810206439346,105.745542678051,1564.55491827801,2.25,0.989667178331547
"58","African","less than 10 years","male",263.891620910726,398.413719469681,101.674755313434,2562.87526264787,2.36,1.10480876065756
"59","African","less than 10 years","male",158.700863749254,243.239413388073,154.021652182564,1940.57359572034,2.29,1.13373799284376
"60","African","less than 10 years","male",230.114584614057,335.233551263809,173.335042153485,1886.11705142539,2.62,1.25478009831529
"61","African","less than 10 years","male",222.980375192128,385.397144872695,126.461729081348,2251.24164698645,2.23,1.10423810744506
"62","African","less than 10 years","male",189.432694553398,210.445031989366,194.438780867495,1777.9444550164,2.69,1.30426438329088
"63","African","less than 10 years","male",198.716518620495,261.028964351863,202.425834687892,2036.02680990007,2.1,1.10452238989217
"64","African","less than 10 years","male",257.366144168191,392.349798837677,105.144155165181,1996.15959604271,2.47,1.38037890904025
"65","African","less than 10 years","male",179.001772601623,394.970610924065,109.527204220649,2399.62907519657,2.33,1.29941826550006
"66","African","less than 10 years","male",151.824495918117,382.79940248467,102.929332351778,2113.08264154941,2.14,0.937735936071635
"67","African","less than 10 years","male",180.506029701792,316.94108992815,195.177306514233,2299.48733169585,2.22,1.13860686545083
